Carimbo de data/hora,Qual a sua ideia ou como você vem atuando contra intolerância na Internet?,Qual conhecimento ajudaria a fortalecer a sua ideia ou projeto?,O que te impede de adquirir esse conhecimento com os recursos disponíveis na Internet hoje?,Onde você costuma consumir esse tipo de conteúdo?,Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Vídeo],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Texto],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Infográfico],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Slide],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Podcast],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Livro/e-book],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Post em rede social],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Boa organização],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Possui interatividade],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Tema do meu interesse],"Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Está no meu formato preferido (Texto, vídeo, post)]",Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Linguagem descontraída],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Curta duração]
05/02/2019 00:57:51,Educação,"Como funciona a tecnologia por trás das redes sociais, Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Falta de tempo, Preguiça/Procrastinação","Rede social, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Relativamente útil,Extremamente útil,Muito útil,Muito útil,Relativamente útil,Relativamente útil,Extremamente atrativo,Muito atrativo,Muito atrativo,Muito atrativo,Relativamente atrativo,Muito atrativo
05/02/2019 08:34:02,"Jornalismo, Educação, Produção de vídeos/filmes/documentários, Produção de conteúdo em redes sociais/sites/blogs","Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar","Conteúdo pago, Falta de tempo, Preguiça/Procrastinação","Livro, Rede social, Artigo científico, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Muito útil,Extremamente útil,Extremamente útil,Muito útil,Extremamente útil,Extremamente útil,Muito útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo
05/02/2019 15:31:42,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Falta de tempo, Foge da minha área de formação/trabalho","Livro, Rede social, Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Extremamente útil,Muito útil,Extremamente útil,Muito útil,Extremamente útil,Extremamente útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo
05/02/2019 23:30:15,"Educação, Produção de conteúdo em redes sociais/sites/blogs","Como conseguir dados para a minha narrativa, Como posso defender pessoas ou um grupo de pessoas? Como ""blindar"" conteúdo ofensivo e disseminar conteúdos verificados e embasados em fatos reais e conferidos?","Exemplos distantes da minha realidade, Falta de conteúdo","Rede social, Artigo científico, Portal de notícia",Relativamente útil,Relativamente útil,Pouco útil,Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo
06/02/2019 01:49:31,Jornalismo,Como funcionam algoritmos e como eles influenciam na minha vida,Falta de tempo,Portal de notícia,Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Pouco útil,Pouco útil,Pouco útil,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo,Pouco atrativo,Relativamente atrativo
06/02/2019 22:47:16,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo que exige dedicação prolongada, Falta de tempo, Foge da minha área de formação/trabalho, Preguiça/Procrastinação","Rede social, Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Extremamente útil,Muito útil,Relativamente útil,Muito útil,Extremamente útil,Muito útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo,Extremamente atrativo
10/02/2019 20:23:46,"Educação, Produção de conteúdo em redes sociais/sites/blogs","Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo pago, Foge da minha área de formação/trabalho, Preguiça/Procrastinação",Rede social,Muito útil,Relativamente útil,Extremamente útil,Pouco útil,Pouco útil,Muito útil,Muito útil,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Relativamente atrativo,Muito atrativo,Extremamente atrativo
12/02/2019 13:54:56,Produção de conteúdo em redes sociais/sites/blogs,"Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida",Preguiça/Procrastinação,"Livro, Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Extremamente útil,Extremamente atrativo,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Nada atrativo,Extremamente atrativo
12/02/2019 14:38:26,Produção de conteúdo em redes sociais/sites/blogs,Como construir contra-narrativas (de forma exemplificada),Falta de conteúdo,"Livro, Rede social, Podcast",Extremamente útil,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Muito útil,Muito útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo,Relativamente atrativo
12/02/2019 20:52:57,Produção de conteúdo em redes sociais/sites/blogs,Como funcionam algoritmos e como eles influenciam na minha vida,"Exemplos distantes da minha realidade, Falta de tempo, Foge da minha área de formação/trabalho","Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo)",Relativamente útil,Relativamente útil,Pouco útil,Nada útil,Pouco útil,Relativamente útil,Pouco útil,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo
