Ano,Domínio,Únicas,Duplicadas,Total de Denúncias,Mês Número
2006,0bbs.jp,4.0,0.0,4,5
2006,3.122,19.0,4.0,23,12
2006,c700.com,5.0,7.0,12,7
2006,coredump.cx,17.0,0.0,17,1
2006,cutelitt.com,18.0,9.0,27,21
2006,disponivel.com,16.0,0.0,16,2
2006,ecstazy.biz,6.0,1.0,7,4
2006,ecstazy.info,8.0,0.0,8,18
2006,elwebbs.biz,30.0,0.0,30,3
2006,findnudists.com,26.0,0.0,26,3
2006,firstundress.com,10.0,0.0,10,6
2006,flogao.com.br,79.0,9.0,88,57
2006,fotolog.com,32.0,22.0,54,44
2006,fotoplenka.ru,13.0,0.0,13,4
2006,freepichosting.info,11.0,0.0,11,1
2006,gazzag.com,6.0,45.0,51,11
2006,geocities.com,47.0,32.0,79,37
2006,girls2006.info,4.0,0.0,4,8
2006,giroskopes.com,6.0,8.0,14,11
2006,heaven-portal.com,34.0,0.0,34,2
2006,hyperporno.com.br,6.0,0.0,6,2
2006,ig.com.br,21.0,12.0,33,39
2006,ihostphotos.com,8.0,0.0,8,2
2006,imageshack.us,7.0,41.0,48,7
2006,kit.net,68.0,2.0,70,14
2006,lo-fantasy.com,7.0,0.0,7,6
2006,lo2006.com,6.0,1.0,7,8
2006,lolita-sites.net,12.0,0.0,12,3
2006,lolparad.com,13.0,55.0,68,16
2006,lustgal.com,3.0,42.0,45,12
2006,megashares.com,16.0,0.0,16,5
2006,mercadolivre.com.br,11.0,0.0,11,4
2006,msn.com,49.0,0.0,49,6
2006,mujweb.cz,9.0,78.0,87,3
2006,newpussypics.com,4.0,2.0,6,7
2006,newstar-alisa.com,6.0,0.0,6,2
2006,newstar-cherry.com,11.0,0.0,11,2
2006,newstar-victoria-archive.com,10.0,0.0,10,2
2006,nextlittle.com,18.0,0.0,18,3
2006,orkut.com,33782.0,290792.0,324574,78
2006,pcforum.com.br,4.0,0.0,4,5
2006,pixlog.net,7.0,0.0,7,1
2006,porkyhost.com,4.0,5.0,9,6
2006,rapidshare.de,66.0,6.0,72,9
2006,reflexteens.com,3.0,64.0,67,9
2006,repon.info,23.0,9.0,32,17
2006,sexolandia.org,14.0,0.0,14,7
2006,sweetsassyass.com,14.0,0.0,14,1
2006,teenteen.biz,6.0,6.0,12,12
2006,terra.com.br,19.0,12.0,31,21
2006,torperkut.com,5.0,0.0,5,9
