Ano,Idioma,Total de Denúncias
2006,dutch,55
2006,english,7943
2006,farsi,9
2006,french,95
2006,german,12
2006,pinyin,0
2006,portuguese,3143
2006,russian,264
2006,spanish,98
2006,swedish,1
2007,dutch,55
2007,english,8982
2007,farsi,14
2007,french,227
2007,german,72
2007,pinyin,0
2007,portuguese,3315
2007,russian,255
2007,spanish,282
2007,swedish,0
2008,dutch,158
2008,english,11793
2008,farsi,4
2008,french,515
2008,german,72
2008,pinyin,0
2008,portuguese,3769
2008,russian,568
2008,spanish,232
2008,swedish,1
2009,dutch,54
2009,english,14452
2009,farsi,27
2009,french,558
2009,german,116
2009,pinyin,0
2009,portuguese,6074
2009,russian,1025
2009,spanish,431
2009,swedish,0
2010,dutch,74
2010,english,47012
2010,farsi,51
2010,french,1203
2010,german,124
2010,pinyin,0
2010,portuguese,14473
2010,russian,1280
2010,spanish,675
2010,swedish,0
2011,dutch,322
2011,english,25247
2011,farsi,20
2011,french,1566
2011,german,85
2011,pinyin,0
2011,portuguese,131907
2011,russian,7964
2011,spanish,1292
2011,swedish,14
2012,dutch,113
2012,english,20763
2012,farsi,4
2012,french,2417
2012,german,125
2012,pinyin,0
2012,portuguese,82261
2012,russian,5595
2012,spanish,1228
2012,swedish,11
2013,dutch,70
2013,english,17587
2013,farsi,3
2013,french,1788
2013,german,106
2013,pinyin,0
2013,portuguese,136417
2013,russian,3083
2013,spanish,1499
2013,swedish,27
2014,dutch,53
2014,english,25331
2014,farsi,4
2014,french,945
2014,german,55
2014,pinyin,0
2014,portuguese,145977
2014,russian,2532
2014,spanish,1748
2014,swedish,0
2015,dutch,20
2015,english,35700
2015,farsi,1
2015,french,1184
2015,german,33
2015,pinyin,0
2015,portuguese,122755
2015,russian,2383
2015,spanish,796
2015,swedish,44
2016,dutch,24
2016,english,64705
2016,farsi,11
2016,french,1706
2016,german,147
2016,pinyin,0
2016,portuguese,41471
2016,russian,3769
2016,spanish,771
2016,swedish,27
2017,dutch,21
2017,english,37576
2017,farsi,15
2017,french,1331
2017,german,182
2017,pinyin,0
2017,portuguese,12801
2017,russian,3155
2017,spanish,978
2017,swedish,7
2018,dutch,47
2018,english,46012
2018,farsi,29
2018,french,2151
2018,german,104
2018,pinyin,5
2018,portuguese,28211
2018,russian,9652
2018,spanish,938
2018,swedish,14
