Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
geocities.com,13.0,0.0,13,Janeiro,1,2006
yahoo.com,4.0,0.0,4,Janeiro,1,2006
freepichosting.info,11.0,0.0,11,Janeiro,1,2006
wol.bz,18.0,0.0,18,Janeiro,1,2006
orkut.com,204.0,1.0,205,Janeiro,1,2006
coredump.cx,17.0,0.0,17,Janeiro,1,2006
sweetsassyass.com,14.0,0.0,14,Janeiro,1,2006
msn.com,13.0,0.0,13,Janeiro,1,2006
kit.net,43.0,0.0,43,Janeiro,1,2006
pixlog.net,7.0,0.0,7,Janeiro,1,2006
hyperporno.com.br,6.0,0.0,6,Fevereiro,2,2006
ihostphotos.com,8.0,0.0,8,Fevereiro,2,2006
newstar-cherry.com,11.0,0.0,11,Fevereiro,2,2006
newstar-alisa.com,6.0,0.0,6,Fevereiro,2,2006
heaven-portal.com,34.0,0.0,34,Fevereiro,2,2006
disponivel.com,16.0,0.0,16,Fevereiro,2,2006
orkut.com,316.0,51.0,367,Fevereiro,2,2006
msn.com,24.0,0.0,24,Fevereiro,2,2006
newstar-victoria-archive.com,10.0,0.0,10,Fevereiro,2,2006
kit.net,20.0,0.0,20,Fevereiro,2,2006
elwebbs.biz,30.0,0.0,30,Março,3,2006
findnudists.com,26.0,0.0,26,Março,3,2006
flogao.com.br,18.0,0.0,18,Março,3,2006
lolita-sites.net,12.0,0.0,12,Março,3,2006
nextlittle.com,18.0,0.0,18,Março,3,2006
orkut.com,1194.0,911.0,2105,Março,3,2006
uol.com.br,11.0,1.0,12,Março,3,2006
mujweb.cz,9.0,78.0,87,Março,3,2006
msn.com,12.0,0.0,12,Março,3,2006
terra.com.br,8.0,6.0,14,Abril,4,2006
fotoplenka.ru,13.0,0.0,13,Abril,4,2006
geocities.com,6.0,0.0,6,Abril,4,2006
mercadolivre.com.br,11.0,0.0,11,Abril,4,2006
rapidshare.de,51.0,5.0,56,Abril,4,2006
flogao.com.br,15.0,2.0,17,Abril,4,2006
orkut.com,3992.0,8567.0,12559,Abril,4,2006
uol.com.br,9.0,0.0,9,Abril,4,2006
ecstazy.biz,6.0,1.0,7,Abril,4,2006
terra.com.br,7.0,3.0,10,Maio,5,2006
geocities.com,3.0,1.0,4,Maio,5,2006
rapidshare.de,15.0,1.0,16,Maio,5,2006
flogao.com.br,15.0,1.0,16,Maio,5,2006
0bbs.jp,4.0,0.0,4,Maio,5,2006
megashares.com,16.0,0.0,16,Maio,5,2006
orkut.com,3336.0,9355.0,12691,Maio,5,2006
uol.com.br,13.0,3.0,16,Maio,5,2006
pcforum.com.br,4.0,0.0,4,Maio,5,2006
lo-fantasy.com,7.0,0.0,7,Junho,6,2006
youtube.com,4.0,1.0,5,Junho,6,2006
repon.info,17.0,1.0,18,Junho,6,2006
geocities.com,10.0,15.0,25,Junho,6,2006
firstundress.com,10.0,0.0,10,Junho,6,2006
porkyhost.com,4.0,5.0,9,Junho,6,2006
flogao.com.br,5.0,2.0,7,Junho,6,2006
fotolog.com,8.0,3.0,11,Junho,6,2006
orkut.com,3724.0,19783.0,23507,Junho,6,2006
sexolandia.org,14.0,0.0,14,Julho,7,2006
