Idioma,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
portuguese,55.0,1.0,56,Janeiro,1,2006
french,10.0,0.0,10,Janeiro,1,2006
farsi,3.0,0.0,3,Janeiro,1,2006
swedish,0.0,0.0,0,Janeiro,1,2006
russian,9.0,0.0,9,Janeiro,1,2006
german,2.0,0.0,2,Janeiro,1,2006
spanish,9.0,0.0,9,Janeiro,1,2006
dutch,3.0,0.0,3,Janeiro,1,2006
pinyin,0.0,0.0,0,Janeiro,1,2006
english,190.0,0.0,190,Janeiro,1,2006
portuguese,47.0,4.0,51,Fevereiro,2,2006
french,10.0,0.0,10,Fevereiro,2,2006
farsi,0.0,0.0,0,Fevereiro,2,2006
swedish,0.0,0.0,0,Fevereiro,2,2006
russian,4.0,0.0,4,Fevereiro,2,2006
german,0.0,0.0,0,Fevereiro,2,2006
spanish,6.0,0.0,6,Fevereiro,2,2006
dutch,8.0,0.0,8,Fevereiro,2,2006
pinyin,0.0,0.0,0,Fevereiro,2,2006
english,198.0,2.0,200,Fevereiro,2,2006
portuguese,124.0,7.0,131,Março,3,2006
french,11.0,0.0,11,Março,3,2006
farsi,0.0,0.0,0,Março,3,2006
swedish,0.0,0.0,0,Março,3,2006
russian,22.0,78.0,100,Março,3,2006
german,0.0,0.0,0,Março,3,2006
spanish,12.0,1.0,13,Março,3,2006
dutch,8.0,0.0,8,Março,3,2006
pinyin,0.0,0.0,0,Março,3,2006
english,211.0,20.0,231,Março,3,2006
portuguese,134.0,46.0,180,Abril,4,2006
french,17.0,2.0,19,Abril,4,2006
farsi,0.0,0.0,0,Abril,4,2006
swedish,0.0,0.0,0,Abril,4,2006
russian,7.0,12.0,19,Abril,4,2006
german,3.0,0.0,3,Abril,4,2006
spanish,11.0,2.0,13,Abril,4,2006
dutch,4.0,2.0,6,Abril,4,2006
pinyin,0.0,0.0,0,Abril,4,2006
english,243.0,103.0,346,Abril,4,2006
portuguese,100.0,49.0,149,Maio,5,2006
french,6.0,2.0,8,Maio,5,2006
farsi,1.0,0.0,1,Maio,5,2006
swedish,0.0,0.0,0,Maio,5,2006
russian,9.0,5.0,14,Maio,5,2006
german,0.0,0.0,0,Maio,5,2006
spanish,9.0,7.0,16,Maio,5,2006
dutch,4.0,0.0,4,Maio,5,2006
pinyin,0.0,0.0,0,Maio,5,2006
english,197.0,170.0,367,Maio,5,2006
portuguese,61.0,54.0,115,Junho,6,2006
french,3.0,0.0,3,Junho,6,2006
farsi,3.0,0.0,3,Junho,6,2006
swedish,0.0,0.0,0,Junho,6,2006
russian,5.0,1.0,6,Junho,6,2006
german,0.0,0.0,0,Junho,6,2006
spanish,5.0,2.0,7,Junho,6,2006
dutch,0.0,0.0,0,Junho,6,2006
pinyin,0.0,0.0,0,Junho,6,2006
english,111.0,122.0,233,Junho,6,2006
portuguese,70.0,31.0,101,Julho,7,2006
french,3.0,1.0,4,Julho,7,2006
farsi,0.0,0.0,0,Julho,7,2006
swedish,0.0,0.0,0,Julho,7,2006
russian,4.0,1.0,5,Julho,7,2006
german,4.0,1.0,5,Julho,7,2006
spanish,6.0,4.0,10,Julho,7,2006
dutch,2.0,3.0,5,Julho,7,2006
pinyin,0.0,0.0,0,Julho,7,2006
english,155.0,239.0,394,Julho,7,2006
portuguese,78.0,51.0,129,Agosto,8,2006
french,7.0,2.0,9,Agosto,8,2006
farsi,1.0,1.0,2,Agosto,8,2006
swedish,0.0,0.0,0,Agosto,8,2006
russian,7.0,7.0,14,Agosto,8,2006
german,1.0,0.0,1,Agosto,8,2006
spanish,7.0,3.0,10,Agosto,8,2006
dutch,4.0,0.0,4,Agosto,8,2006
pinyin,0.0,0.0,0,Agosto,8,2006
english,152.0,335.0,487,Agosto,8,2006
portuguese,227.0,337.0,564,Setembro,9,2006
french,1.0,0.0,1,Setembro,9,2006
farsi,0.0,0.0,0,Setembro,9,2006
swedish,1.0,0.0,1,Setembro,9,2006
russian,4.0,2.0,6,Setembro,9,2006
german,0.0,0.0,0,Setembro,9,2006
spanish,4.0,0.0,4,Setembro,9,2006
dutch,2.0,2.0,4,Setembro,9,2006
pinyin,0.0,0.0,0,Setembro,9,2006
english,151.0,951.0,1102,Setembro,9,2006
portuguese,103.0,81.0,184,Outubro,10,2006
french,4.0,2.0,6,Outubro,10,2006
farsi,0.0,0.0,0,Outubro,10,2006
swedish,0.0,0.0,0,Outubro,10,2006
russian,6.0,17.0,23,Outubro,10,2006
german,1.0,0.0,1,Outubro,10,2006
spanish,3.0,0.0,3,Outubro,10,2006
dutch,1.0,3.0,4,Outubro,10,2006
pinyin,0.0,0.0,0,Outubro,10,2006
english,138.0,935.0,1073,Outubro,10,2006
portuguese,117.0,862.0,979,Novembro,11,2006
french,6.0,4.0,10,Novembro,11,2006
farsi,0.0,0.0,0,Novembro,11,2006
swedish,0.0,0.0,0,Novembro,11,2006
russian,12.0,32.0,44,Novembro,11,2006
german,0.0,0.0,0,Novembro,11,2006
spanish,4.0,0.0,4,Novembro,11,2006
dutch,3.0,4.0,7,Novembro,11,2006
pinyin,0.0,0.0,0,Novembro,11,2006
english,169.0,2017.0,2186,Novembro,11,2006
portuguese,100.0,404.0,504,Dezembro,12,2006
french,3.0,1.0,4,Dezembro,12,2006
farsi,0.0,0.0,0,Dezembro,12,2006
swedish,0.0,0.0,0,Dezembro,12,2006
russian,3.0,17.0,20,Dezembro,12,2006
german,0.0,0.0,0,Dezembro,12,2006
spanish,3.0,0.0,3,Dezembro,12,2006
dutch,0.0,2.0,2,Dezembro,12,2006
pinyin,0.0,0.0,0,Dezembro,12,2006
english,114.0,1020.0,1134,Dezembro,12,2006
portuguese,104.0,157.0,261,Janeiro,1,2007
french,4.0,0.0,4,Janeiro,1,2007
farsi,1.0,0.0,1,Janeiro,1,2007
swedish,0.0,0.0,0,Janeiro,1,2007
russian,3.0,8.0,11,Janeiro,1,2007
german,0.0,0.0,0,Janeiro,1,2007
spanish,3.0,0.0,3,Janeiro,1,2007
dutch,0.0,1.0,1,Janeiro,1,2007
pinyin,0.0,0.0,0,Janeiro,1,2007
english,147.0,501.0,648,Janeiro,1,2007
portuguese,114.0,96.0,210,Fevereiro,2,2007
french,3.0,2.0,5,Fevereiro,2,2007
farsi,2.0,0.0,2,Fevereiro,2,2007
swedish,0.0,0.0,0,Fevereiro,2,2007
russian,6.0,1.0,7,Fevereiro,2,2007
german,0.0,1.0,1,Fevereiro,2,2007
spanish,8.0,3.0,11,Fevereiro,2,2007
dutch,0.0,0.0,0,Fevereiro,2,2007
pinyin,0.0,0.0,0,Fevereiro,2,2007
english,188.0,243.0,431,Fevereiro,2,2007
portuguese,101.0,293.0,394,Março,3,2007
french,4.0,1.0,5,Março,3,2007
farsi,0.0,0.0,0,Março,3,2007
swedish,0.0,0.0,0,Março,3,2007
russian,2.0,1.0,3,Março,3,2007
german,0.0,0.0,0,Março,3,2007
spanish,6.0,1.0,7,Março,3,2007
dutch,1.0,0.0,1,Março,3,2007
pinyin,0.0,0.0,0,Março,3,2007
english,150.0,305.0,455,Março,3,2007
portuguese,102.0,227.0,329,Abril,4,2007
french,12.0,6.0,18,Abril,4,2007
farsi,0.0,0.0,0,Abril,4,2007
swedish,0.0,0.0,0,Abril,4,2007
russian,9.0,6.0,15,Abril,4,2007
german,2.0,0.0,2,Abril,4,2007
spanish,8.0,7.0,15,Abril,4,2007
dutch,5.0,3.0,8,Abril,4,2007
pinyin,0.0,0.0,0,Abril,4,2007
english,216.0,604.0,820,Abril,4,2007
portuguese,148.0,233.0,381,Maio,5,2007
french,16.0,11.0,27,Maio,5,2007
farsi,0.0,0.0,0,Maio,5,2007
swedish,0.0,0.0,0,Maio,5,2007
russian,18.0,35.0,53,Maio,5,2007
german,9.0,29.0,38,Maio,5,2007
spanish,1.0,1.0,2,Maio,5,2007
dutch,3.0,14.0,17,Maio,5,2007
pinyin,0.0,0.0,0,Maio,5,2007
english,353.0,1428.0,1781,Maio,5,2007
portuguese,121.0,151.0,272,Junho,6,2007
french,8.0,3.0,11,Junho,6,2007
farsi,1.0,0.0,1,Junho,6,2007
swedish,0.0,0.0,0,Junho,6,2007
russian,10.0,6.0,16,Junho,6,2007
